Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label,GPS_Location,Transaction_Hour,Transaction_Day,Transaction_Month,Amount_Balance_Ratio,High_Amount_Flag,High_Velocity_Flag,Geo_Anomaly_Flag,Risk_Amount_Interaction
69.24,0,23582.72,2,1,2,0.0,0.0,8.0,407.54,0.0,2,127.0,4166.42,0,0.8936,0.0,1,44066,8,1,2,0.002935923594750955,0,0,0,61.87286399999999
28.26,1,71874.91,0,0,2,0.0,0.0,12.0,56.25,2.0,3,14.0,2113.08,0,0.7071,1.0,0,45646,11,1,1,0.0003931776307249536,0,0,0,19.982646
37.53,1,76304.12,0,0,2,0.0,0.0,6.0,330.35,0.0,3,55.0,3114.59,2,0.6,0.0,0,26061,7,1,1,0.0004918411765815977,0,0,0,22.518
194.5,3,86688.01,1,0,3,0.0,1.0,5.0,50.28,4.0,2,51.0,275.98,1,0.8442,0.0,1,53831,4,1,1,0.0022436523383990658,0,0,0,164.1969
114.77,2,16002.07,0,3,2,0.0,0.0,3.0,107.3,1.0,0,81.0,2801.66,1,0.5627,1.0,0,46863,2,1,1,0.007171748920675845,0,0,0,64.58107899999999
243.16,1,80679.56,2,3,5,0.0,1.0,10.0,296.71,4.0,3,230.0,2255.51,3,0.375,1.0,1,17377,1,1,2,0.00301386108376045,1,0,0,91.185
9.98,1,32092.96,3,0,3,0.0,0.0,1.0,357.83,0.0,3,75.0,1722.4,3,0.436,0.0,0,12676,22,1,1,0.00031096193800951957,0,0,0,4.35128
32.86,0,65179.31,3,1,3,0.0,0.0,5.0,486.48,4.0,1,215.0,1053.43,3,0.8236,0.0,1,4179,1,1,1,0.0005041399772415933,0,0,0,27.063496
65.58,1,77621.75,3,3,2,0.0,0.0,1.0,252.41,4.0,0,123.0,4889.47,3,0.345,0.0,1,1125,4,1,2,0.0008448554064369015,0,0,1,22.625099999999996
70.53,1,13102.09,3,2,2,0.0,0.0,6.0,203.23,2.0,1,48.0,3767.99,0,0.7154,0.0,0,37837,7,1,1,0.005382699805923641,0,0,0,50.457162000000004
285.22,3,41868.21,1,3,3,1.0,0.0,7.0,133.3,3.0,3,46.0,61.68,0,0.2531,0.0,0,47122,21,1,1,0.006812165789610075,1,0,0,72.189182
16.88,3,21233.15,2,3,1,0.0,0.0,8.0,213.52,0.0,0,197.0,422.01,3,0.9792,0.0,1,73241,15,1,1,0.0007949458772778754,0,0,0,16.528896
17612.100000000002,2,67846.77,1,1,1,0.0,0.0,7.0,454.35,1.0,3,75.0,1624.88,3,0.6167,0.0,0,73127,19,1,1,0.2595825920291854,1,0,0,10861.382070000001
122.35,0,95428.84,3,2,3,0.0,0.0,1.0,482.29,1.0,2,73.0,1578.58,1,0.163,1.0,0,12633,6,1,2,0.0012820937350413665,0,0,0,19.94305
136.49,2,54426.63,3,4,3,0.0,0.0,4.0,124.88,0.0,2,29.0,1196.46,1,0.0692,1.0,0,67618,0,1,1,0.0025077336639497258,0,0,0,9.445108000000001
99.9,3,1708.81,1,1,0,0.0,0.0,7.0,315.69,4.0,3,140.0,336.46,2,0.7369,1.0,1,59160,10,1,1,0.05842754458097684,0,0,0,73.61631
42.85,2,89730.62,4,3,1,0.0,0.0,14.0,127.98,1.0,1,215.0,1514.79,0,0.9566,1.0,1,73360,5,1,1,0.0004775351208414604,0,1,0,40.99031
1.31,3,33369.02,1,1,4,0.0,0.0,5.0,383.57,1.0,0,97.0,875.68,3,0.9838,0.0,1,35236,6,1,2,3.925679397255381e-05,0,0,0,1.288778
17612.100000000002,0,61164.98,2,1,2,0.0,0.0,12.0,367.57,0.0,1,119.0,4048.05,2,0.1441,0.0,0,36445,0,1,2,0.2879394722360371,1,0,0,2537.9036100000003
271.3,1,82735.53,1,3,2,0.0,0.0,2.0,408.79,2.0,3,98.0,4170.5,1,0.6906,1.0,0,11885,5,1,1,0.0032790836163904867,1,0,0,187.35978
134.77,0,64763.72,3,4,1,1.0,0.0,13.0,493.04,1.0,2,204.0,2706.86,2,0.9034,1.0,1,45354,2,1,1,0.0020809168942597144,0,0,0,121.75121800000001
4.03,3,30905.44,4,2,2,0.0,0.0,2.0,285.68,4.0,3,152.0,4494.32,1,0.2851,0.0,1,30653,12,1,1,0.00013039353610444943,0,0,0,1.1489530000000001
66.69,0,76427.34,4,3,5,0.0,1.0,11.0,14.66,2.0,0,31.0,131.8,1,0.1113,0.0,0,24422,15,1,1,0.000872582081463499,0,0,0,7.422597
214.66,3,72342.32,0,3,0,0.0,0.0,5.0,395.58,2.0,2,55.0,1686.63,3,0.0104,1.0,0,49973,12,1,1,0.002967240099016744,0,0,0,2.232464
183.07,1,41085.86,2,2,4,0.0,0.0,9.0,63.52,4.0,1,26.0,4100.87,3,0.7241,0.0,1,23005,15,1,1,0.0044556824249894,0,0,0,132.56098699999998
321.22,3,52258.19,3,3,2,0.0,1.0,2.0,483.52,4.0,2,82.0,932.38,1,0.8638,0.0,1,64594,12,1,1,0.006146670088074462,1,0,0,277.46983600000004
33.58,3,20959.58,4,1,2,0.0,0.0,4.0,357.76,2.0,2,23.0,798.04,1,0.0459,0.0,0,34894,12,1,1,0.0016020549049692325,0,0,0,1.541322
133.64,0,16056.57,3,2,3,0.0,0.0,6.0,47.53,3.0,2,120.0,1788.16,0,0.3502,1.0,0,25292,6,1,1,0.008322554408917413,0,0,0,46.800728
4.07,0,12709.07,2,1,5,0.0,0.0,9.0,33.02,4.0,0,59.0,436.19,0,0.3005,1.0,1,65475,17,1,1,0.0003202185353817879,0,0,0,1.223035
146.87,1,62393.33,3,4,0,0.0,0.0,8.0,251.03,1.0,0,66.0,960.87,3,0.6605,1.0,0,11822,1,1,1,0.002353899785445248,0,0,0,97.007635
13.27,2,29551.48,0,2,3,0.0,0.0,1.0,302.48,2.0,3,178.0,4752.46,0,0.1477,1.0,0,48350,18,1,1,0.00044903168871106584,0,0,1,1.959979
50.61,0,88857.04,3,4,2,0.0,0.0,2.0,451.11,3.0,1,65.0,2072.77,0,0.941,1.0,1,28571,15,1,1,0.0005695601658555602,0,0,0,47.62401
94.77,1,87627.51,3,0,4,0.0,0.0,6.0,420.73,4.0,1,222.0,4438.85,2,0.5853,1.0,1,45286,22,1,1,0.0010814973346003488,0,0,0,55.468881
243.61,1,31776.21,4,0,5,0.0,0.0,9.0,368.72,1.0,3,206.0,1431.36,3,0.9693,1.0,1,44871,6,1,1,0.007666185923811437,1,0,0,236.13117300000002
28.92,2,59755.68,1,2,0,0.0,0.0,14.0,205.67,4.0,0,152.0,3337.37,2,0.923,0.0,1,25418,10,1,1,0.0004839626297846534,0,1,0,26.693160000000002
40.76,1,26424.74,4,1,1,0.0,1.0,2.0,232.4,2.0,3,111.0,3850.46,2,0.5439,1.0,0,59077,17,1,1,0.0015424355193080683,0,0,0,22.169364
40.8,0,17089.38,0,2,5,0.0,1.0,12.0,413.87,1.0,2,213.0,775.69,2,0.6005,0.0,0,18800,7,1,1,0.002387307947511992,0,0,0,24.5004
18.32,1,17609.23,4,0,5,0.0,0.0,13.0,24.77,2.0,2,116.0,4626.64,0,0.2213,0.0,0,51138,22,1,1,0.0010403044139684718,0,0,1,4.054216
82.08,2,63736.54,0,1,5,0.0,0.0,11.0,151.23,2.0,2,75.0,2627.5,2,0.3791,0.0,0,67605,7,1,2,0.0012877811098451555,0,0,0,31.116528
200.16,0,6686.29,0,1,1,0.0,0.0,2.0,137.29,4.0,0,20.0,1968.0,2,0.0039,0.0,1,7194,5,1,1,0.029931407191852007,0,0,0,0.780624
282.59,1,62888.38,4,2,2,0.0,1.0,2.0,105.64,0.0,1,104.0,1603.64,3,0.8951,0.0,1,8400,3,1,1,0.00449344547521378,1,0,0,252.94630899999999
6.87,0,63499.05,0,1,5,0.0,0.0,6.0,441.52,3.0,2,135.0,3105.5,1,0.923,0.0,1,41806,11,1,1,0.00010818889118984946,0,0,0,6.341010000000001
153.65,0,48217.06,3,0,0,0.0,0.0,7.0,357.31,4.0,3,169.0,1024.14,1,0.8771,0.0,1,33748,11,1,1,0.003186565365757146,0,0,0,134.766415
72.17,1,43991.21,3,2,1,0.0,0.0,8.0,394.49,4.0,0,164.0,1638.34,2,0.3643,0.0,1,33688,7,1,2,0.0016405177189325112,0,0,0,26.291531000000003
16.99,3,83902.6,0,1,4,0.0,0.0,1.0,185.62,4.0,3,171.0,4770.22,0,0.6568,0.0,1,30976,0,1,2,0.00020249429106736775,0,0,1,11.159032
122.27,1,61591.52,0,4,1,0.0,0.0,3.0,248.99,0.0,2,157.0,4995.96,1,0.9895,0.0,1,9230,19,1,1,0.0019851436505601656,0,0,1,120.986165
9.89,1,82506.28,2,3,1,0.0,0.0,2.0,57.86,1.0,1,228.0,1633.45,3,0.9076,1.0,1,1427,6,1,1,0.00011986821041731107,0,0,0,8.976164
55.09,2,22945.65,1,0,0,0.0,0.0,3.0,130.81,0.0,3,177.0,2312.48,1,0.8766,1.0,1,12501,3,1,1,0.002400786171401926,0,0,0,48.291894000000006
23.35,2,26696.93,0,0,3,0.0,0.0,14.0,191.19,2.0,1,2.0,3431.3,1,0.9735,0.0,1,11206,13,1,1,0.0008745996412455947,0,1,0,22.731225000000002
37.65,0,80843.91,0,1,0,0.0,0.0,9.0,72.53,2.0,0,111.0,2079.05,1,0.6975,0.0,0,15808,8,1,2,0.00046570649902387173,0,0,0,26.260875
44.75,1,36293.54,3,4,2,0.0,0.0,10.0,200.43,0.0,2,208.0,3824.17,2,0.4326,0.0,0,46991,0,1,1,0.0012329678238104133,0,0,0,19.35885
313.66,1,20473.33,1,4,3,0.0,0.0,9.0,345.31,0.0,3,76.0,4817.94,2,0.4288,1.0,0,62793,1,1,1,0.015319671022201947,1,0,1,134.497408
31.4,1,50724.86,4,3,5,0.0,0.0,8.0,425.3,0.0,0,97.0,4090.79,2,0.812,0.0,0,52571,17,1,1,0.0006190136549680971,0,0,0,25.4968
18.58,1,18419.36,1,1,4,0.0,0.0,12.0,229.95,3.0,0,86.0,881.39,2,0.3179,0.0,0,44600,17,1,1,0.0010086664972888694,0,0,0,5.906581999999999
125.79,3,72257.92,1,3,3,0.0,0.0,8.0,47.96,1.0,2,213.0,2100.85,3,0.7621,0.0,0,20088,6,1,1,0.001740823139897469,0,0,0,95.864559
9.93,3,35735.19,4,4,1,0.0,0.0,14.0,136.46,0.0,1,103.0,4038.24,0,0.9287,1.0,1,56547,12,1,1,0.0002778695770310153,0,1,0,9.221991
139.7,2,2945.02,2,1,0,0.0,0.0,3.0,450.69,4.0,3,209.0,4609.06,0,0.7643,0.0,1,17892,20,1,1,0.0474199088940333,0,0,1,106.77270999999999
87.28,2,91074.26,4,0,1,0.0,0.0,14.0,400.63,2.0,2,102.0,1710.28,3,0.9967,0.0,1,65434,13,1,1,0.0009583283100152556,0,1,0,86.99197600000001
169.24,1,61358.36,4,3,2,0.0,0.0,14.0,111.52,2.0,3,46.0,3249.88,1,0.603,0.0,0,43033,16,1,1,0.002758177399503515,0,1,0,102.05172
32.49,3,80047.69,1,0,3,1.0,0.0,4.0,379.67,2.0,2,233.0,4549.25,0,0.7876,0.0,0,13380,14,1,1,0.00040587797251897563,0,0,1,25.589124
238.91,2,62057.47,2,0,3,0.0,0.0,12.0,359.03,3.0,2,119.0,3959.29,3,0.9866,1.0,1,280,12,1,1,0.0038497565279969033,1,0,0,235.708606
173.45,2,4040.75,4,1,4,0.0,1.0,12.0,484.04,3.0,1,87.0,2119.59,2,0.2538,1.0,0,3737,7,1,2,0.042914579080843694,0,0,0,44.02161
27.27,1,49551.79,2,2,0,0.0,0.0,6.0,380.31,4.0,2,20.0,1466.88,3,0.0367,1.0,1,37233,9,1,1,0.0005503221917474273,0,0,0,1.000809
136.8,3,2561.79,1,1,0,0.0,0.0,11.0,358.45,4.0,2,34.0,1260.67,3,0.34,0.0,1,26735,5,1,1,0.05337932487640424,0,0,0,46.51200000000001
215.66,2,61212.91,0,1,4,0.0,0.0,8.0,102.42,4.0,1,86.0,2023.89,0,0.9728,0.0,1,43564,19,1,1,0.0035230554623940863,0,0,0,209.794048
307.81,1,62262.28,3,1,4,0.0,0.0,10.0,229.65,3.0,0,33.0,946.3,2,0.1511,0.0,0,56215,12,1,1,0.00494368430317195,1,0,0,46.510091
23.4,2,75847.22,1,0,1,0.0,0.0,10.0,278.08,4.0,0,170.0,1819.75,1,0.4965,0.0,1,38143,4,1,1,0.0003085108655153674,0,0,0,11.6181
64.2,2,10571.26,2,0,3,0.0,0.0,14.0,301.44,1.0,3,73.0,4716.8,3,0.4547,0.0,0,19756,4,1,2,0.0060724953794174565,0,1,1,29.19174
220.52,3,37813.38,3,4,1,0.0,0.0,7.0,100.98,2.0,1,212.0,40.47,3,0.229,1.0,0,57413,8,1,1,0.005831643940744236,0,0,0,50.499080000000006
107.46,0,62473.3,2,1,5,0.0,1.0,12.0,339.25,0.0,2,40.0,602.76,1,0.9311,1.0,1,36451,1,1,1,0.0017200672916703346,0,0,0,100.056006
175.5,2,47279.39,2,3,4,0.0,0.0,2.0,12.45,2.0,3,87.0,19.57,2,0.5627,0.0,0,23922,6,1,1,0.0037118983155595797,0,0,0,98.75385
86.39,3,3793.73,4,4,0,0.0,0.0,9.0,322.62,1.0,3,43.0,4607.01,1,0.5125,1.0,0,20471,5,1,1,0.022765783072840492,0,0,1,44.274874999999994
97.08,1,54122.24,4,3,4,0.0,0.0,14.0,359.95,0.0,0,152.0,936.83,1,0.2924,0.0,0,2341,8,1,2,0.0017936841918554766,0,1,0,28.386191999999998
1.59,0,14700.11,3,1,1,0.0,0.0,14.0,276.11,0.0,3,186.0,2293.17,2,0.5039,0.0,0,59312,22,1,1,0.0001081550984925628,0,1,0,0.801201
33.38,1,53458.44,3,0,4,0.0,0.0,7.0,204.75,4.0,2,117.0,2343.95,3,0.6676,1.0,1,16535,4,1,1,0.000624398609487866,0,0,0,22.284488
11.72,1,37777.44,2,2,1,0.0,0.0,7.0,206.68,1.0,0,194.0,482.57,1,0.5531,0.0,0,9986,2,1,2,0.00031022985597076007,0,0,0,6.482332
30.72,1,61289.72,2,3,2,0.0,0.0,13.0,194.22,4.0,0,42.0,3424.54,0,0.9702,0.0,1,65270,8,1,2,0.0005012178026298272,0,0,0,29.804543999999996
171.15,0,98042.41,4,3,5,0.0,0.0,4.0,220.3,1.0,2,101.0,1362.19,3,0.986,1.0,1,55682,4,1,1,0.001745655317374212,0,0,0,168.75390000000002
12.87,1,76918.68,4,3,4,0.0,0.0,10.0,21.19,2.0,2,1.0,3592.43,0,0.9596,1.0,1,17578,4,1,1,0.00016731738873588658,0,0,0,12.350052
68.0,3,88495.52,0,4,3,0.0,0.0,14.0,368.21,1.0,0,165.0,2814.64,3,0.6726,1.0,0,64399,9,1,2,0.0007683917966491789,0,1,0,45.736799999999995
120.9,2,35297.5,1,0,1,0.0,0.0,13.0,127.34,0.0,0,222.0,4814.4,0,0.5938,0.0,0,56479,20,1,1,0.0034250747198889472,0,0,1,71.79042
195.29,1,16175.93,2,0,0,0.0,0.0,2.0,235.66,1.0,3,14.0,2955.86,2,0.2174,1.0,0,48982,3,1,2,0.01207212987878417,0,0,0,42.456046
39.91,3,92490.53,2,2,1,1.0,0.0,10.0,53.85,3.0,0,155.0,1022.19,0,0.4625,0.0,0,21630,8,1,2,0.0004314989707706208,0,0,0,18.458375
88.52,0,95402.28,0,4,2,0.0,0.0,3.0,151.01,4.0,0,62.0,4075.47,1,0.538,0.0,1,17040,0,1,2,0.0009278506986342607,0,0,0,47.623760000000004
13.19,1,38925.5,1,4,4,1.0,0.0,7.0,196.24,0.0,0,212.0,2924.24,2,0.448,0.0,0,39043,1,1,2,0.00033884371828959704,0,0,0,5.90912
22.99,2,67105.88,4,3,5,0.0,1.0,3.0,298.22,3.0,3,172.0,4398.48,3,0.9562,0.0,1,41302,10,1,1,0.00034258782408003467,0,0,0,21.983038
259.43,3,22421.19,4,1,4,0.0,1.0,9.0,476.43,4.0,2,56.0,297.86,0,0.5204,1.0,1,73350,22,1,1,0.011570234664856556,1,0,0,135.007372
7.29,1,46186.35,1,0,4,0.0,1.0,4.0,244.59,3.0,3,192.0,597.71,3,0.5525,1.0,0,23971,1,1,2,0.0001578354246346673,0,0,0,4.027725
290.18,1,98501.49,4,2,5,0.0,0.0,1.0,277.28,1.0,2,232.0,370.3,0,0.3951,0.0,0,15369,5,1,2,0.0029459153773676175,1,0,0,114.650118
64.72,2,24669.89,1,4,4,0.0,0.0,8.0,394.17,0.0,2,232.0,3725.84,2,0.0405,0.0,0,49987,8,1,2,0.00262333462635519,0,0,0,2.62116
0.91,3,48885.33,1,2,1,0.0,0.0,5.0,23.91,2.0,3,170.0,1660.02,0,0.0339,0.0,0,47755,4,1,1,1.8614610669281166e-05,0,0,0,0.030849
108.15,1,14189.43,2,0,2,0.0,0.0,7.0,18.88,2.0,0,168.0,285.7,3,0.9043,0.0,1,40152,6,1,2,0.0076213335325286125,0,0,0,97.80004500000001
27.09,2,48053.08,1,2,4,0.0,0.0,12.0,97.75,0.0,3,37.0,3183.45,1,0.9986,0.0,1,20816,22,1,1,0.000563739853098842,0,0,0,27.052074
115.04,2,14222.79,4,3,4,0.0,0.0,2.0,372.72,4.0,1,169.0,2635.76,1,0.9505,0.0,1,48405,11,1,1,0.00808785843997978,0,0,0,109.34552000000001
152.42,2,52169.76,2,3,1,0.0,0.0,14.0,406.43,1.0,0,101.0,1925.46,3,0.9442,1.0,1,30640,19,1,1,0.002921559892936196,0,1,0,143.914964
99.98,1,93712.55,4,1,4,0.0,1.0,12.0,374.6,0.0,3,67.0,502.28,2,0.4571,0.0,0,26211,8,1,2,0.001066868131662924,0,0,0,45.700858000000004
79.89,1,45254.31,3,0,0,0.0,0.0,1.0,304.96,4.0,3,106.0,1195.63,1,0.9766,0.0,1,72308,16,1,1,0.0017653177052593387,0,0,0,78.020574
12.71,0,58797.44,4,2,2,0.0,0.0,2.0,335.0,0.0,1,232.0,1190.24,0,0.9057,0.0,1,6803,5,1,2,0.0002161621975004779,0,0,0,11.511447
6.96,3,93866.91,1,0,0,0.0,1.0,12.0,413.73,3.0,3,178.0,4738.46,3,0.8379,0.0,0,61731,6,1,2,7.414674514432036e-05,0,0,1,5.831784
176.03,3,49276.16,0,0,3,0.0,0.0,13.0,214.41,2.0,0,182.0,579.71,1,0.2655,0.0,0,19036,0,1,2,0.003572243205574347,0,0,0,46.735965
69.98,0,48825.68,1,0,4,0.0,0.0,8.0,387.02,4.0,3,114.0,4356.23,0,0.8084,0.0,1,27775,3,1,1,0.0014332328145186199,0,0,0,56.571832
95.89,3,99868.29,2,4,2,0.0,0.0,6.0,141.25,1.0,3,117.0,311.7,3,0.5835,0.0,0,39940,18,1,1,0.0009601550186248446,0,0,0,55.951815
214.67,1,21771.99,0,2,1,0.0,0.0,12.0,240.89,2.0,0,160.0,2469.71,3,0.0287,0.0,0,20681,6,1,1,0.009859463491233861,0,0,0,6.161028999999999
22.12,0,78219.48,4,0,1,0.0,0.0,13.0,77.67,4.0,2,122.0,2934.83,2,0.0468,0.0,1,60832,0,1,1,0.0002827903894223099,0,0,0,1.0352160000000001
290.31,2,11997.34,3,1,3,0.0,0.0,7.0,473.05,2.0,1,195.0,4537.36,2,0.9477,0.0,1,48807,5,1,1,0.024195847092181085,1,0,1,275.126787
47.49,0,78210.1,1,0,3,0.0,1.0,9.0,161.54,2.0,2,194.0,847.66,2,0.9701,0.0,1,30946,5,1,2,0.000607202813922832,0,0,0,46.070049
1.27,3,16420.94,4,2,4,0.0,0.0,9.0,299.53,3.0,0,142.0,501.83,1,0.082,0.0,0,60197,0,1,1,7.733556449481609e-05,0,0,0,0.10414000000000001
10.97,1,14041.36,3,4,5,0.0,0.0,10.0,500.0,0.0,0,33.0,223.43,3,0.3565,0.0,0,19555,19,1,1,0.0007812077172213217,0,0,0,3.910805
215.73,2,9157.75,4,1,3,0.0,0.0,13.0,54.52,4.0,2,47.0,3905.54,3,0.0561,0.0,1,66552,16,1,1,0.023554524361948954,0,0,0,12.102452999999999
143.99,2,5054.82,3,1,4,0.0,0.0,1.0,91.09,3.0,0,79.0,1954.5,2,0.9588,0.0,1,62318,6,1,1,0.02848004873591228,0,0,0,138.057612
80.21,2,22613.19,0,0,3,0.0,0.0,11.0,383.16,2.0,3,124.0,197.13,3,0.1351,1.0,0,31966,15,1,1,0.003546888037997381,0,0,0,10.836371
24.23,3,74053.81,1,0,3,0.0,0.0,11.0,183.89,0.0,1,73.0,2406.68,0,0.4759,0.0,0,63467,20,1,1,0.00032719009069093555,0,0,0,11.531057
11.43,0,99501.98,0,4,0,0.0,0.0,12.0,434.44,0.0,1,61.0,1594.73,2,0.8223,0.0,0,45395,4,1,2,0.00011487093150376,0,0,0,9.398889
429.16,0,53634.75,1,3,5,0.0,0.0,12.0,267.62,4.0,0,64.0,3811.48,1,0.6951,0.0,1,24455,6,1,1,0.008001379676801387,1,0,0,298.309116
361.94,1,11329.11,0,3,5,1.0,0.0,7.0,306.6,4.0,2,76.0,1142.41,3,0.7127,0.0,1,36355,2,1,1,0.031944967877628724,1,0,0,257.954638
43.78,1,99525.22,2,4,5,0.0,0.0,5.0,217.07,0.0,3,52.0,4257.14,1,0.51,0.0,0,14594,18,1,1,0.0004398840828075255,0,0,0,22.3278
21.12,3,13957.8,2,4,3,0.0,0.0,6.0,274.93,0.0,2,219.0,1983.18,3,0.4425,1.0,0,73036,19,1,1,0.0015130240421812765,0,0,0,9.345600000000001
146.93,0,34718.07,0,1,3,0.0,1.0,3.0,393.66,4.0,2,78.0,3876.39,0,0.2158,0.0,1,22199,15,1,1,0.0042319681950006155,0,0,0,31.707494
17.17,3,16502.59,3,0,4,0.0,0.0,5.0,158.61,2.0,1,236.0,1211.5,1,0.9278,0.0,1,41073,5,1,2,0.0010403796992048398,0,0,0,15.930326
1.04,2,18532.94,2,2,2,0.0,0.0,3.0,184.05,2.0,0,162.0,4936.46,1,0.3034,0.0,0,11059,8,1,2,5.611327111234849e-05,0,0,1,0.31553600000000004
17612.100000000002,0,40254.54,1,3,0,0.0,0.0,13.0,138.81,1.0,3,196.0,1021.6,2,0.4584,1.0,0,65400,5,1,2,0.4375074834420306,1,0,0,8073.386640000001
171.01,3,64844.46,2,0,0,0.0,0.0,1.0,433.66,1.0,1,214.0,4433.78,0,0.8514,0.0,1,33785,21,1,1,0.0026371931049606247,0,0,0,145.597914
49.56,1,8207.18,3,4,5,0.0,0.0,9.0,279.04,2.0,1,226.0,3681.89,0,0.3101,1.0,0,34455,2,1,2,0.006037879286272962,0,0,0,15.368556
36.15,0,60044.88,0,0,1,0.0,0.0,10.0,126.47,2.0,0,50.0,86.94,1,0.2719,0.0,0,70756,6,1,1,0.0006020396403550086,0,0,0,9.829184999999999
5.81,3,6672.89,2,4,1,0.0,0.0,2.0,282.07,1.0,1,169.0,3605.27,1,0.9114,1.0,1,40621,3,1,2,0.0008705567517594686,0,0,0,5.295234
25.71,3,69096.24,3,4,0,0.0,1.0,11.0,364.37,4.0,0,75.0,47.32,0,0.4007,0.0,1,51104,3,1,2,0.00037208432637830395,0,0,0,10.301997
51.11,2,21437.66,0,3,4,0.0,0.0,2.0,320.38,4.0,2,53.0,3.98,2,0.5897,0.0,1,19669,5,1,2,0.0023840109409823187,0,0,0,30.139567
17.91,2,89133.74,2,0,1,0.0,0.0,12.0,321.55,4.0,2,123.0,2136.36,0,0.7218,0.0,1,50670,16,1,1,0.0002009317579206491,0,0,0,12.927438
65.96,2,69399.35,4,2,4,0.0,0.0,8.0,89.33,4.0,1,128.0,3730.81,1,0.3573,0.0,1,23916,0,1,2,0.0009504274834348816,0,0,0,23.567507999999997
222.35,3,36618.14,3,0,1,0.0,0.0,13.0,411.04,4.0,1,154.0,146.58,0,0.0062,1.0,1,47562,2,1,2,0.0060719612748961335,0,0,0,1.3785699999999999
74.53,1,13946.6,1,0,2,0.0,0.0,4.0,459.35,4.0,1,16.0,22.72,3,0.6671,1.0,1,47842,17,1,1,0.005343571653904615,0,0,0,49.718963
